Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
CV23 0AQ,52.391825,-1.197411,,25,8,
CV23 0SP,52.387993,-1.176322,,28,8,
CV23 0SR,52.387649,-1.175857,,21,10,
CV23 0SS,52.38618,-1.175401,,65,28,
CV23 0ST,52.387583,-1.17411,,12,7,
CV23 0SU,52.388398,-1.174873,,83,29,
CV23 0SX,52.389137,-1.173831,,61,29,
CV23 0SY,52.387224,-1.172823,,51,19,
CV23 0SZ,52.386275,-1.160602,,23,6,
CV23 0TE,52.386817,-1.176402,,12,6,
CV23 0TG,52.386605,-1.174393,,22,8,
CV23 8AJ,52.331026,-1.258578,,1,1,
CV23 8AL,52.323794,-1.249425,,6,2,
CV23 8AN,52.323778,-1.245537,,133,54,Onley
CV23 8AP,52.326464,-1.247691,,673,0,Onley
CV23 8AW,52.324719,-1.246165,,69,34,Onley
CV23 8BF,52.333411,-1.177497,,8,2,Kilsby
CV23 8FA,52.330221,-1.202326,,26,10,Barby
CV23 8FP,52.336507,-1.17898,,7,3,Kilsby
CV23 8SY,52.325961,-1.250649,,32,0,Onley
CV23 8SZ,52.32752,-1.242801,,373,0,Onley
CV23 8TA,52.322315,-1.205902,,23,8,Barby
CV23 8TB,52.333285,-1.210181,,12,4,
CV23 8TF,52.314418,-1.194718,,27,8,
CV23 8TG,52.318347,-1.20411,,8,4,
CV23 8TH,52.323425,-1.206513,,42,14,Barby
CV23 8TJ,52.326097,-1.202811,,85,38,Barby
CV23 8TL,52.329577,-1.202925,,63,26,Barby
CV23 8TN,52.33103,-1.203618,,69,27,Barby
CV23 8TP,52.325036,-1.205354,,61,30,Barby
CV23 8TQ,52.326541,-1.204535,,9,3,Barby
CV23 8TR,52.325031,-1.205956,,63,30,Barby
CV23 8TS,52.329056,-1.204314,,15,7,Barby
CV23 8TT,52.327504,-1.203358,,36,14,Barby
CV23 8TU,52.330448,-1.200298,,82,36,Barby
CV23 8TW,52.328289,-1.205208,,4,3,Barby
CV23 8TX,52.329829,-1.20427,,21,7,Barby
CV23 8TY,52.328368,-1.203504,,24,10,Barby
CV23 8TZ,52.328993,-1.202935,,28,11,Barby
CV23 8UA,52.329411,-1.206186,,26,13,Barby
CV23 8UB,52.331129,-1.20504,,35,19,Barby
CV23 8UD,52.32696,-1.204072,,28,11,Barby
CV23 8UE,52.330783,-1.203035,,50,21,Barby
CV23 8UF,52.329841,-1.203331,,47,12,Barby
CV23 8UG,52.331351,-1.201983,,56,26,Barby
CV23 8UH,52.328664,-1.177262,,6,3,
CV23 8UL,52.310205,-1.168158,,13,5,
CV23 8UN,52.308484,-1.16486,,135,51,
CV23 8UQ,52.328495,-1.201007,,78,28,Barby
CV23 8UT,52.330267,-1.233995,,6,2,
CV23 8UU,52.338945,-1.228574,,13,4,
CV23 8UW,52.328598,-1.15261,,13,7,
CV23 8UX,52.346712,-1.213672,,11,5,
CV23 8UY,52.331853,-1.178171,,49,24,Kilsby
CV23 8UZ,52.3333,-1.178012,,27,12,Kilsby
CV23 8XA,52.332384,-1.176928,,39,17,Kilsby
CV23 8XB,52.332171,-1.179941,,54,20,Kilsby
CV23 8XD,52.334178,-1.180183,,39,19,Kilsby
CV23 8XE,52.333663,-1.177316,,19,8,Kilsby
CV23 8XF,52.332717,-1.175939,,48,23,Kilsby
CV23 8XG,52.333659,-1.180721,,64,37,Kilsby
CV23 8XH,52.332729,-1.179989,,64,28,Kilsby
CV23 8XJ,52.334938,-1.174503,,5,3,Kilsby
CV23 8XL,52.334971,-1.177849,,31,17,Kilsby
CV23 8XN,52.333017,-1.174818,,37,21,Kilsby
CV23 8XP,52.335851,-1.180357,,39,18,Kilsby
CV23 8XQ,52.335745,-1.179346,,29,12,Kilsby
CV23 8XR,52.336062,-1.180926,,46,21,Kilsby
CV23 8XS,52.334764,-1.176561,,52,19,Kilsby
CV23 8XT,52.336666,-1.177481,,28,14,Kilsby
CV23 8XU,52.336979,-1.179602,,16,6,Kilsby
CV23 8XW,52.33427,-1.178185,,4,2,Kilsby
CV23 8XX,52.337399,-1.17798,,153,44,Kilsby
CV23 8XY,52.336149,-1.176565,,79,26,Kilsby
CV23 8XZ,52.336314,-1.174463,,81,29,Kilsby
CV23 8YA,52.33553,-1.171719,,2,1,
CV23 8YB,52.335214,-1.174029,,1,1,Kilsby
