postcode,lat,lng,alt
CV21 2EW,-1.271804,52.371044,0
CV23 0SX,-1.173831,52.389137,0
CV23 8TU,-1.200298,52.330448,0
CV23 8TY,-1.203504,52.328368,0
CV23 8UN,-1.16486,52.308484,0
CV23 8XS,-1.176561,52.334764,0
CV23 8XT,-1.177481,52.336666,0
LE16 8FB,-0.905348,52.476492,0
LE16 8HN,-0.855004,52.515222,0
LE16 8HQ,-0.83183,52.509979,0
LE16 8LA,-0.89322,52.42703,0
LE16 8LW,-0.877895,52.453102,0
LE16 8LW,-0.877895,52.453102,0
LE16 8QQ,-0.80302,52.485669,0
LE16 8TG,-0.724339,52.516547,0
LE16 8XA,-0.750497,52.503593,0
LE16 8YG,-0.775095,52.493717,0
LE16 9RX,-0.951689,52.424803,0
LE16 9SH,-0.943054,52.460571,0
MK19 6DP,-0.860094,52.064253,0
MK19 6GN,-0.889174,52.052789,0
NN1 1ES,-0.891568,52.235224,0
NN1 1ES,-0.891568,52.235224,0
NN1 1LN,-0.890715,52.237113,0
NN1 2HN,-0.900288,52.242034,0
NN1 2SQ,-0.902629,52.239754,0
NN1 3AX,-0.891558,52.24266,0
NN1 3BA,-0.892817,52.243885,0
NN1 3BL,-0.894052,52.242488,0
NN1 3LF,-0.888264,52.24202,0
NN1 3PZ,-0.887789,52.246373,0
NN1 3QG,-0.886672,52.245341,0
NN1 3QR,-0.88511,52.245137,0
NN1 3QR,-0.88511,52.245137,0
NN1 3QS,-0.886041,52.246006,0
NN1 4BU,-0.883539,52.243531,0
NN1 4NA,-0.873934,52.243431,0
NN1 4NL,-0.872372,52.246104,0
NN1 4NY,-0.881054,52.246843,0
NN1 4PA,-0.879024,52.247183,0
NN1 4PE,-0.87556,52.246914,0
NN1 4PF,-0.875249,52.247019,0
NN1 4PP,-0.875473,52.245681,0
NN1 4QN,-0.879232,52.249379,0
NN1 4RG,-0.873269,52.250599,0
NN1 4RL,-0.874615,52.250663,0
NN1 4RL,-0.874615,52.250663,0
NN1 4RQ,-0.871398,52.251022,0
NN1 4SP,-0.872387,52.254762,0
NN1 4TH,-0.870574,52.247112,0
NN1 4TH,-0.870574,52.247112,0
NN1 4TH,-0.870574,52.247112,0
NN1 4TH,-0.870574,52.247112,0
NN1 4TQ,-0.871035,52.246286,0
NN1 4TQ,-0.871035,52.246286,0
NN1 5BT,-0.877334,52.236378,0
NN1 5BX,-0.880237,52.237404,0
NN1 5BX,-0.880237,52.237404,0
NN1 5EJ,-0.884424,52.239799,0
NN1 5EL,-0.88394,52.238644,0
NN1 5ER,-0.882511,52.239589,0
NN1 5EU,-0.882307,52.24013,0
NN1 5HN,-0.87813,52.234992,0
NN1 5HN,-0.87813,52.234992,0
NN1 5HN,-0.87813,52.234992,0
NN1 5JE,-0.869239,52.240869,0
NN1 5JF,-0.870077,52.240751,0
NN1 5JH,-0.871009,52.242681,0
NN1 5JS,-0.872657,52.240649,0
NN1 5JX,-0.875538,52.241369,0
NN1 5LZ,-0.867917,52.243301,0
NN1 5QR,-0.88671,52.239138,0
NN1 5QY,-0.886356,52.239233,0
NN1 5RA,-0.885748,52.239575,0
NN1 5RN,-0.857223,52.23713,0
NN1 5RX,-0.864996,52.239533,0
NN1 5RY,-0.861571,52.237738,0
NN1 5SD,-0.862895,52.239252,0
NN10 0AH,-0.597994,52.293101,0
NN10 0AZ,-0.594372,52.292644,0
NN10 0DG,-0.595505,52.294375,0
NN10 0DX,-0.588937,52.293388,0
NN10 0GB,-0.590519,52.276837,0
NN10 0HU,-0.583121,52.290486,0
NN10 0JF,-0.586384,52.289321,0
NN10 0JS,-0.588242,52.290818,0
NN10 0LH,-0.591539,52.285804,0
NN10 0LW,-0.588963,52.286133,0
NN10 0LW,-0.588963,52.286133,0
NN10 0LW,-0.588963,52.286133,0
NN10 0SW,-0.561437,52.272265,0
NN10 0TL,-0.596026,52.28022,0
NN10 0TW,-0.592397,52.283243,0
NN10 0UQ,-0.595627,52.27937,0
NN10 0UU,-0.588975,52.298168,0
NN10 0ZD,-0.585571,52.279835,0
NN10 6AG,-0.601225,52.298048,0
NN10 6BG,-0.601817,52.300689,0
NN10 6EW,-0.606043,52.299211,0
NN10 6UB,-0.613886,52.295059,0
NN10 8AN,-0.600289,52.302164,0
NN10 8EH,-0.601626,52.30859,0
NN10 8HF,-0.598595,52.304256,0
NN10 8HF,-0.598595,52.304256,0
NN10 8HH,-0.591427,52.305034,0
NN10 8HL,-0.588633,52.309433,0
NN10 8LX,-0.59579,52.315021,0
NN10 8PE,-0.603694,52.304874,0
NN10 8PL,-0.601903,52.312855,0
NN10 8PL,-0.601903,52.312855,0
NN10 9BX,-0.597794,52.296182,0
NN10 9FN,-0.595953,52.28249,0
NN10 9JG,-0.604624,52.279486,0
NN10 9JJ,-0.611682,52.283013,0
NN10 9LN,-0.603078,52.268971,0
NN10 9NP,-0.604592,52.288917,0
NN10 9NZ,-0.609832,52.287315,0
NN10 9NZ,-0.609832,52.287315,0
NN10 9PF,-0.614178,52.283833,0
NN10 9QD,-0.608176,52.288707,0
NN10 9SP,-0.603247,52.291589,0
NN10 9TL,-0.608853,52.291898,0
NN10 9XA,-0.609211,52.294042,0
NN11 0GS,-1.155872,52.277448,0
NN11 0GU,-1.15808,52.277724,0
NN11 0GW,-1.154781,52.278564,0
NN11 0NZ,-1.155347,52.279629,0
NN11 0RG,-1.165547,52.270351,0
NN11 0RW,-1.159299,52.272177,0
NN11 0SD,-1.163993,52.274287,0
NN11 0TP,-1.163515,52.272458,0
NN11 0TZ,-1.161031,52.272836,0
NN11 0XE,-1.160816,52.270228,0
NN11 2ND,-1.120779,52.267994,0
NN11 2NP,-1.152576,52.275824,0
NN11 2PG,-1.14917,52.278369,0
NN11 2PQ,-1.153204,52.274361,0
NN11 2PQ,-1.153204,52.274361,0
NN11 3BL,-1.132896,52.212447,0
NN11 3HW,-1.156721,52.229624,0
NN11 3SA,-1.181165,52.164713,0
NN11 3SL,-1.163523,52.138741,0
NN11 3YS,-1.202345,52.194415,0
NN11 3YT,-1.21925,52.198151,0
NN11 3YY,-1.219629,52.199884,0
NN11 3ZD,-1.219209,52.200502,0
NN11 4AS,-1.163554,52.253255,0
NN11 4AS,-1.163554,52.253255,0
NN11 4DE,-1.157274,52.255314,0
NN11 4GZ,-1.151293,52.260881,0
NN11 4GZ,-1.151293,52.260881,0
NN11 4HH,-1.16006,52.250515,0
NN11 4HR,-1.163776,52.250793,0
NN11 4JJ,-1.148197,52.260346,0
NN11 4LN,-1.150728,52.253667,0
NN11 4PB,-1.152168,52.252625,0
NN11 4QU,-1.176695,52.256386,0
NN11 4RW,-1.169867,52.24777,0
NN11 4SY,-1.162067,52.249729,0
NN11 6DN,-1.29741,52.191589,0
NN11 6DP,-1.295695,52.178893,0
NN11 6JD,-1.212113,52.247628,0
NN11 6JJ,-1.210152,52.245862,0
NN11 6XD,-1.241817,52.177188,0
NN11 6XD,-1.241817,52.177188,0
NN11 7JA,-1.199481,52.293538,0
NN11 7JN,-1.202798,52.291736,0
NN11 8AD,-1.172354,52.281817,0
NN11 8AU,-1.169198,52.280446,0
NN11 8BN,-1.178429,52.279108,0
NN11 8SS,-1.16874,52.274401,0
NN11 8TB,-1.171942,52.275591,0
NN11 9BJ,-1.1711,52.264142,0
NN11 9DH,-1.172808,52.263686,0
NN11 9EE,-1.173707,52.260267,0
NN11 9FU,-1.173412,52.267466,0
NN11 9XL,-1.168492,52.266488,0
NN11 9YS,-1.176745,52.267121,0
NN12 6AY,-0.986414,52.126464,0
NN12 6BE,-0.991366,52.120654,0
NN12 6BJ,-0.992023,52.121972,0
NN12 6DH,-0.994686,52.131412,0
NN12 6DJ,-0.994945,52.131662,0
NN12 6DL,-1.000737,52.131361,0
NN12 6EG,-0.990403,52.128351,0
NN12 6EQ,-0.988834,52.125388,0
NN12 6ET,-0.992044,52.131377,0
NN12 6HA,-0.992534,52.128468,0
NN12 6JB,-0.994427,52.126137,0
NN12 6JH,-0.99372,52.12766,0
NN12 6JL,-0.994121,52.124786,0
NN12 6JN,-1.001606,52.127686,0
NN12 6JW,-0.985427,52.122985,0
NN12 6JY,-0.997952,52.128532,0
NN12 6LS,-0.986168,52.118554,0
NN12 6LT,-0.997597,52.129383,0
NN12 6LT,-0.997597,52.129383,0
NN12 6LU,-0.997224,52.128409,0
NN12 6LU,-0.997224,52.128409,0
NN12 6LU,-0.997224,52.128409,0
NN12 6QQ,-0.993978,52.129838,0
NN12 6QQ,-0.993978,52.129838,0
NN12 6QQ,-0.993978,52.129838,0
NN12 6RA,-0.98716,52.121283,0
NN12 6RA,-0.98716,52.121283,0
NN12 6RB,-0.988179,52.121409,0
NN12 6RN,-0.992801,52.130223,0
NN12 6RP,-0.992028,52.130172,0
NN12 6RP,-0.992028,52.130172,0
NN12 6TD,-0.994259,52.123214,0
NN12 6UQ,-0.997022,52.125719,0
NN12 6UW,-1.000971,52.127366,0
NN12 6YE,-0.999175,52.133289,0
NN12 6YF,-1.002387,52.130125,0
NN12 7AE,-0.986323,52.140166,0
NN12 7AE,-0.986323,52.140166,0
NN12 7AE,-0.986323,52.140166,0
NN12 7AF,-0.988575,52.138144,0
NN12 7AH,-0.9848,52.140917,0
NN12 7AH,-0.9848,52.140917,0
NN12 7AH,-0.9848,52.140917,0
NN12 7AN,-0.989535,52.140247,0
NN12 7AU,-0.986344,52.141811,0
NN12 7AW,-0.988825,52.141293,0
NN12 7AX,-0.985057,52.142474,0
NN12 7GB,-0.95295,52.103911,0
NN12 7NA,-0.948744,52.103343,0
NN12 8AB,-0.979585,52.157455,0
NN12 8AB,-0.979585,52.157455,0
NN12 8AB,-0.979585,52.157455,0
NN12 8AP,-0.981568,52.161568,0
NN12 8AY,-1.026887,52.142152,0
NN12 8DB,-1.029511,52.143118,0
NN12 8DB,-1.029511,52.143118,0
NN12 8DD,-1.018872,52.143138,0
NN12 8EH,-1.033404,52.160376,0
NN12 8FP,-1.021136,52.092493,0
NN12 8JQ,-1.079671,52.182392,0
NN12 8JQ,-1.079671,52.182392,0
NN12 8JQ,-1.079671,52.182392,0
NN12 8JT,-1.021345,52.182988,0
NN12 8JW,-1.073213,52.18355,0
NN12 8JZ,-1.024272,52.180899,0
NN12 8LT,-1.017839,52.182797,0
NN12 8NA,-1.021163,52.181961,0
NN12 8NB,-1.01975,52.182336,0
NN12 8PE,-1.062823,52.116253,0
NN12 8PX,-1.140735,52.117143,0
NN12 8QP,-1.053061,52.113766,0
NN12 8QU,-1.052425,52.11279,0
